Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
27,2,110,57,24,16,16,9,20,17,23,19
213,8,110,57,24,16,16,7,21,17,23,20
223,6,110,57,20,16,16,3,20,20,19,19
5,1,110,57,27,16,16,4,24,27,26,23
232,5,62,57,24,16,16,4,18,19,23,17
46,13,26,57,18,8,8,8,10,15,17,9
185,12,26,57,20,16,16,4,16,20,19,16
55,5,26,57,19,16,16,3,16,19,18,16
212,13,154,57,18,8,8,7,9,15,17,8
43,7,58,57,16,8,8,6,10,16,15,9
30,7,58,57,20,8,8,9,13,20,19,12
59,8,58,57,27,16,16,10,17,27,26,16
234,1,25,57,22,16,16,4,22,22,21,21
168,9,25,57,24,16,16,5,24,24,23,23
11,14,25,57,23,16,16,6,23,23,22,22
158,3,25,57,22,16,16,5,20,15,21,19
200,13,25,57,21,16,16,4,21,14,20,20
244,10,25,57,20,16,16,3,20,20,19,19
138,7,25,57,24,16,16,5,24,17,23,23
117,8,9,57,16,12,12,5,16,16,15,15
219,10,9,57,19,12,12,3,19,14,18,18
97,6,9,57,20,12,12,5,20,15,19,19
76,10,9,57,19,12,12,3,19,14,18,18
88,8,35,57,29,16,16,9,19,29,28,18
135,9,35,57,27,16,16,8,17,20,26,16
231,4,35,57,20,16,16,6,17,20,19,16
219,11,35,57,23,16,16,6,17,23,22,17
103,11,35,57,18,8,8,8,10,18,17,9
87,15,35,57,16,8,8,2,12,16,15,11
194,14,35,57,23,16,16,6,19,23,22,18
30,15,106,57,16,15,15,2,16,16,15,15
190,8,106,57,20,15,15,6,17,20,19,16
180,7,106,57,19,15,15,5,16,19,18,15
46,13,106,57,21,15,15,4,16,21,20,15
224,13,106,57,19,15,15,5,16,19,18,15
135,2,3,57,27,16,16,7,17,20,26,16
124,8,3,57,19,16,16,4,17,19,18,16
193,15,3,57,17,16,16,2,17,17,16,16
194,13,3,57,25,16,16,6,18,18,24,17
46,1,3,57,19,16,16,4,18,19,18,17
14,1,3,57,24,16,16,8,17,24,23,16
56,0,3,57,17,16,16,2,17,17,16,16
248,14,27,57,18,16,16,3,17,11,17,16
176,8,27,57,22,16,16,6,20,22,21,19
243,7,27,57,38,16,16,14,17,38,37,16
6,13,27,57,18,16,16,3,18,18,17,17
232,6,27,57,22,16,16,6,18,22,21,17
181,10,27,57,18,16,16,3,18,18,17,17
103,9,27,57,20,16,16,4,18,20,19,18
230,3,184,57,18,8,8,5,10,14,17,9
196,3,184,57,21,8,8,9,10,17,20,9
61,1,184,57,21,8,8,10,10,17,20,9
190,9,56,57,21,8,8,9,12,17,20,11
104,5,56,57,18,8,8,4,10,14,17,9
217,4,14,57,16,4,4,7,9,16,15,8
209,14,14,57,16,4,4,7,9,16,15,8
89,6,7,57,35,16,16,13,20,28,34,19
92,3,7,57,33,16,16,11,18,26,32,17
58,0,7,57,19,16,16,2,19,19,18,18
198,13,7,57,25,16,16,6,18,25,24,17
50,0,7,57,19,16,16,2,19,19,18,18
191,3,152,57,16,8,8,9,16,16,15,15
232,6,170,57,18,8,8,9,9,18,17,8
226,13,170,57,21,8,8,9,9,21,20,8
80,4,46,57,17,8,8,7,11,17,16,10
83,13,42,57,22,8,8,9,9,22,21,8
98,1,6,57,19,16,4,8,7,19,8,6
130,12,6,57,19,16,4,8,7,19,8,6
59,12,138,57,20,8,8,10,9,20,19,9
120,9,38,57,16,8,8,8,10,16,15,9
181,9,38,57,16,8,8,9,11,16,15,10
103,14,74,57,32,24,24,6,25,32,31,24
103,10,30,156,58,40,40,3,57,58,57,56
231,2,30,156,44,40,40,6,41,44,43,40
158,0,30,156,55,40,40,2,54,55,54,53
78,3,30,156,42,40,40,4,42,42,41,41
11,5,30,156,54,40,40,3,53,54,53,52
128,10,30,156,42,40,40,3,42,42,41,41
142,7,45,156,41,32,32,9,33,41,40,32
103,9,45,156,29,24,24,4,24,29,28,24
18,11,45,156,25,24,24,3,25,25,24,24
206,8,45,156,29,24,24,7,25,29,28,24
164,4,45,156,31,24,24,5,25,31,30,24
9,14,45,156,31,24,24,8,24,31,30,24
145,4,110,156,38,16,16,12,22,38,37,21
162,4,110,156,24,16,16,8,20,24,23,19
15,14,110,156,26,16,16,7,23,26,25,22
185,13,110,156,18,16,16,4,17,18,17,16
208,4,110,156,34,16,16,11,18,34,33,17
121,9,150,156,17,16,4,12,5,17,6,4
212,6,62,156,24,16,16,7,21,19,23,20
134,6,62,156,21,16,16,6,18,21,20,17
180,6,26,156,17,16,8,6,9,17,16,8
144,12,26,156,19,8,8,10,9,19,18,8
129,8,154,156,19,8,8,9,9,19,18,8
244,6,58,156,17,8,8,7,12,17,16,11
200,8,25,156,21,16,16,3,21,14,20,20
176,5,25,156,25,16,16,4,23,18,24,22
254,11,25,156,22,16,16,3,22,22,21,21
98,9,25,156,21,16,16,4,21,14,20,20
226,9,25,156,23,16,16,4,22,23,22,21
175,8,25,156,22,16,16,6,22,15,21,21
84,12,9,156,16,12,12,4,16,16,15,15
183,6,9,156,19,12,12,4,19,19,18,18
60,11,35,156,33,16,16,10,17,26,32,16
133,11,35,156,21,16,16,5,19,21,20,18
134,9,35,156,23,16,16,6,17,23,22,17
248,11,35,156,19,16,16,3,17,19,18,16
19,4,35,156,23,16,16,7,17,23,22,16
95,14,35,156,20,16,16,5,19,20,19,19
127,2,106,156,16,15,15,3,16,16,15,15
93,2,106,156,18,15,15,5,16,18,17,15
123,12,106,156,17,15,15,3,17,17,16,16
3,3,106,156,23,15,15,9,17,23,22,16
229,8,3,156,18,16,16,4,18,18,17,17
19,7,3,156,18,16,16,3,17,18,17,16
83,12,3,156,18,16,16,4,18,18,17,17
163,8,3,156,66,64,16,12,18,66,19,17
200,12,3,156,24,16,16,7,17,24,23,16
79,9,27,156,26,16,16,7,18,26,25,17
108,15,27,156,20,16,16,2,20,20,19,19
157,0,27,156,19,16,16,2,18,19,18,18
99,13,27,156,21,16,16,4,20,21,20,19
226,6,27,156,24,16,16,5,17,24,23,17
31,12,43,156,16,8,8,6,9,16,15,8
227,1,184,156,26,8,8,11,11,22,25,10
4,1,11,156,34,32,8,12,10,34,11,9
117,2,142,156,18,16,8,8,10,18,17,9
217,4,134,156,20,16,4,8,8,20,9,7
155,2,24,156,16,8,8,7,11,16,15,10
92,2,7,156,33,16,16,11,18,26,32,17
50,2,7,156,19,16,16,4,19,19,18,18
88,9,7,156,26,16,16,7,18,19,25,17
203,3,170,156,16,8,8,7,9,16,15,8
193,11,170,156,18,8,8,10,9,18,17,8
240,14,15,156,17,16,8,10,9,17,16,8
126,4,15,156,33,32,8,12,9,33,10,8
154,3,42,156,19,8,8,8,9,19,18,8
148,12,42,156,16,8,8,6,9,16,15,8
207,9,162,156,17,8,8,9,12,17,16,11
81,2,6,156,19,8,8,8,9,19,18,8
148,3,10,156,16,8,8,8,10,16,15,9
108,9,74,156,30,24,24,5,25,30,29,24
144,2,2,156,16,8,8,7,9,16,15,8
222,2,30,28,47,40,40,6,40,47,46,40
249,5,30,28,45,40,40,4,40,45,44,40
131,9,30,28,45,40,40,6,40,45,44,40
78,6,30,28,42,40,40,4,41,42,41,41
239,1,30,28,48,40,40,9,42,48,47,42
14,13,45,28,34,32,32,4,32,34,33,32
33,10,45,28,26,24,24,4,25,26,25,24
243,1,45,28,18,2,2,4,18,18,17,17
103,8,45,28,36,24,24,12,25,36,35,24
126,7,45,28,18,2,2,5,18,18,17,17
254,14,45,28,21,2,2,3,21,21,20,20
16,9,45,28,17,2,2,4,17,17,16,16
100,0,110,28,22,16,16,2,22,22,21,21
191,13,110,28,22,16,16,6,20,22,21,19
144,5,110,28,21,16,16,3,21,21,20,20
171,2,110,28,21,16,16,4,21,14,20,20
217,8,110,28,22,16,16,4,21,22,21,20
169,11,110,28,21,16,16,4,21,21,20,20
20,1,126,28,16,6,6,10,8,16,15,8
48,7,62,28,19,16,16,4,19,19,18,18
101,9,62,28,21,16,16,4,21,21,20,20
24,2,62,28,36,16,16,13,19,36,35,18
24,1,62,28,36,16,16,13,19,36,35,18
11,14,154,28,19,8,8,5,9,19,18,8
236,0,58,28,17,16,16,2,17,17,16,16
187,8,58,28,17,8,8,9,9,13,16,8
241,7,58,28,17,8,8,8,12,17,16,11
213,4,25,28,22,16,16,4,22,22,21,21
235,0,25,28,22,16,16,2,22,22,21,21
231,2,25,28,20,16,16,4,20,13,19,19
157,2,25,28,25,16,16,7,25,25,24,24
179,5,25,28,25,16,16,4,25,25,24,24
135,15,25,28,18,16,16,2,18,11,17,17
